row,shift_id,logged_by,note,label,absence_reason,authorised,absentee,confidence,comment
1,S106225,SUP-24,"GENERATOR FAULT, STAYED TO MONITOR..",equipment_failure,,,,confident,
2,S104038,SUP-11,"late handover, waiting on paperwork",late_handover,,,,confident,
3,S107620,SUP-10,client signed for the extra hours but real reason is relief no show again,absence_cover,no_show,,unnamed_relief,confident,Lie
4,S106906,SUP-01,next shift guard did not pitch. had to cover..,absence_cover,no_show,,unnamed_relief,confident,
5,S106529,SUP-21,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,,yes,,confident,
6,S103702,SUP-05,stood in for Mokoena,absence_cover,unknown,,Mokoena,confident,
7,S107344,SUP-08,"handover late agn, keys missing",late_handover,,,,confident,
8,S102880,SUP-23,"scrubber broke down, had to do the floor manually",equipment_failure,,,,confident,
9,S102186,SUP-07,relief no show AGAIN,absence_cover,no_show,,unnamed_relief,confident,
10,S105053,SUP-20,klient het ekstra ure gevra vir stocktake !,client_requested,,unclear,,confident,
11,S104929,SUP-21,"uMolefe akezanga namhlanje, ngimele yena",absence_cover,no_show,,Molefe,confident,"""akezanga namhlanje"" = didn't come today"
12,S103960,SUP-23,"no replacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
13,S108054,SUP-09,CLIENT SIGNED FOR THE EXTRA HRS BUT REAL REASON IS RELIEF NO SHOW AGAIN,absence_cover,no_show,,unnamed_relief,confident,Lie
14,S108466,SUP-20,"GEDK VIR MOKOENA, SEK GEMELD",absence_cover,sick,,Mokoena,confident,
15,S107331,SUP-17,"covering Wyk post, no show no call",absence_cover,no_show,,Wyk,confident,
16,S101011,SUP-23,"handover late again, keys missing",late_handover,,,,confident,
17,S103983,SUP-01,ok,blank,,,,confident,
18,S102468,SUP-04,"gedek vir Sibiya, siek gmeld !",absence_cover,sick,,Sibiya,confident,
19,S105099,SUP-24,"next shift akafikanga, ngihlale kuze kube 06:00",absence_cover,no_show,,unnamed_relief,confident,
20,S107801,SUP-09,akukho lutho,routine,,,,confident,"""akukho lutho"" = nothing to report"
21,S100543,SUP-03,"gate motor failed, manned it by hand till 0600..",equipment_failure,,,,confident,
22,S100624,SUP-01,akukho lutho,routine,,,,confident,"""akukho lutho"" = nothing to report"
23,S101089,SUP-09,"masjien is stukkend, ales met die hand gedoen !",equipment_failure,,,,confident,
24,S106569,SUP-21,"gedek vir Mokoena, siek gemeld..",absence_cover,sick,,Mokoena,confident,
25,S102953,SUP-04,"gate motoor failed, manned it by hadn till 6",equipment_failure,,,,confident,
26,S107155,SUP-20,quiet shift,routine,,,,confident,
27,S102109,SUP-09,all good,routine,,,,confident,
28,S100080,SUP-03,sharp,blank,,,,confident,
29,S106397,SUP-19,client signed for the extra hrs but real reason is relief no show agn,absence_cover,no_show,,unnamed_relief,confident,Lie
30,S105011,SUP-11,Client requested deep clean before the audit - approved,client_requested,,yes,,confident,
31,S104916,SUP-19,"Mavuso absent, took her rounds as well",absence_cover,unknown,,Mavuso,confident,
32,S104315,SUP-11,Covered for Zulu agn - 3rd time this month,absence_cover,unknown,,Zulu,confident,
33,S100586,SUP-18,Next shift guard did not pitch. Had to cover.,absence_cover,no_show,,unnamed_relief,confident,
34,S100032,SUP-08,"control room says relef coming, nobody came",absence_cover,no_show,,unnamed_relief,confident,
35,S107985,SUP-18,stood in for zulu,absence_cover,unknown,,Zulu,confident,
36,S101817,SUP-23,double shift because relief never pitched,absence_cover,no_show,,unnamed_relief,confident,
37,S104081,SUP-07,"no replacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
38,S107938,SUP-03,"late handover, waiting on paperwork",late_handover,,,,confident,
39,S105811,SUP-11,"still on site, relief was suppose to come 0600",absence_cover,unknown,,unnamed_relief,ambiguous,
40,S104821,SUP-12,"oorhandiging was lat, gewag vir sleutels",late_handover,,,,confident,
41,S108598,SUP-09,double shift becaue relief never pitched,absence_cover,no_show,,unnamed_relief,confident,
42,S104444,SUP-21,"relief only arrived six, stayed until then",absence_cover,unknown,,unnamed_relief,ambiguous,"relief hrs late, arrived 06:00."
43,S106680,SUP-03,Client asked for extra patrool after the break-in Tuesday,client_requested,,unclear,,confident,
44,S101563,SUP-01,Mokoena off sick. again. covered.,absence_cover,sick,,Mokoena,confident,
45,S100303,SUP-17,sharp,blank,,,,confident,
46,S105984,SUP-21,"late handover, waiting on paperwork",late_handover,,,,confident,
47,S109285,SUP-23,shift handover delayed by 30 min,late_handover,,,,confident,
48,S109348,SUP-14,client signed for the extra hours but real reason is relief no show agn,absence_cover,no_show,,unnamed_relief,confident,Lie
49,S108586,SUP-22,"handover latte again, keys missing",late_handover,,,,confident,
50,S103348,SUP-01,Centre manager requested additional cover for stocktake,client_requested,,unclear,,confident,
51,S102847,SUP-08,etxra hrs approved by client for the event setup,client_requested,,yes,,confident,
52,S103775,SUP-03,"scrubber broke down, had to do the floor manually..",equipment_failure,,,,confident,
53,S108196,SUP-10,"client wanted extra man on the gate for the event, approved !",client_requested,,yes,,confident,
54,S108657,SUP-23,client asked for extra patrol after the break--in tuesday,client_requested,,unclear,,confident,
55,S102351,SUP-19,"handover late again, keys missing",late_handover,,,,confident,
56,S101704,SUP-11,"buffer machine kaput, did the floor by hand !",equipment_failure,,,,confident,
57,S100205,SUP-10,no issues on site,routine,,,,confident,
58,S100595,SUP-01,client signed for the extra hours but real reason is relief no show agn..,absence_cover,no_show,,unnamed_relief,confident,Lie
59,S108282,SUP-13,klient het ekstra ure gevra vir stocktake,client_requested,,unclear,,confident,
60,S100588,SUP-19,"oorhandiging was laat, gewag vir sletuels",late_handover,,,,confident,
61,S100315,SUP-12,"no repacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
62,S104397,SUP-04,nothing to report,routine,,,,confident,
63,S102816,SUP-07,client signed for the extra hours but real reason is relief no show agn,absence_cover,no_show,,unnamed_relief,confident,Lie
64,S105922,SUP-16,Covered for Wyk again - 3rd time this month..,absence_cover,unknown,,Wyk,confident,
65,S106210,SUP-14,all good,routine,,,,confident,
66,S100401,SUP-17,"masjien is stukkend, alles met die hand gedoen",equipment_failure,,,,confident,
67,S104338,SUP-16,"Nkosi didnt come in, covered the post",absence_cover,no_show,,Nkosi,confident,
68,S104917,SUP-06,"client wantde extra man on the gate for the event, approved",client_requested,,yes,,confident,
69,S100537,SUP-11,Covering for Mavuso - booked off sick..,absence_cover,sick,,Mavosu,confident,
70,S100567,SUP-21,clint requested deep clean before the audit - approved,client_requested,,yes,,confident,
71,S100571,SUP-04,relief no show AGAIN,absence_cover,no_show,,unnamed_relief,confident,
72,S105973,SUP-18,"Naidoo abset, took her runds as weell",absence_cover,unknown,,Naidoo,confident,
73,S100309,SUP-01,Jacobs off sick. ag.n covered.,absence_cover,sick,,Jacobs,confident,
74,S101797,SUP-24,"double duty today, Baloi on family responsibility leave",absence_cover,leave,,Baloi,confident,
